mass_1 mass_2 tilt_1 tilt_2 phi_12 a_1 a_2 phi_jl theta_jn ra dec luminosity_distance geocent_time psi phase reference_frequency h1_snr l1_snr network_snr chirp_mass duration cos_tilt_2 cos_tilt_1 mass_ratio
57.42885825407402 57.42885825407402 0.5941626312328202 0.32890939107660755 6.084709822168887 0.6 0.6 4.20572402084339 0.7869045233094899 6.181566388967793 -0.001726926623604965 721.740072456754 0.0 2.113376987195656 0.1 20.0 48.03798395361969 54.481976737014115 72.63562274463385 49.99472490253739 4 0.9463951850521722 0.8286175609662506 1.0
65.45507296009771 65.45507296009771 0.7032158936112782 0.478359656743093 5.2642968808490265 0.6 0.6 6.242024737978362 1.1511706226303196 2.6937728450820413 -0.14785820323846274 586.9897831789374 0.0 2.3251685236660733 0.1 20.0 56.43487053528504 55.92389049044285 79.45046343427725 56.98195063600196 4 0.8877512054664873 0.7627665003260715 1.0
61.820800080911006 61.820800080911006 0.9681410098586428 1.022984579479106 5.218878760675047 0.6 0.6 5.984947940056096 1.2722862562501422 2.870276888640882 0.2515583726942829 512.4290640863546 0.0 0.9833870407896812 0.1 20.0 33.9428232214793 35.661123273014994 49.232417788869206 53.81813233385415 4 0.5208204399154662 0.5668320078926541 1.0
56.79555597590942 56.79555597590942 0.11707774115516555 0.7265746934760077 3.013645563511668 0.6 0.6 1.7133395179316309 2.091458964243324 0.2929722793055089 -0.17929414207135666 730.9610143159875 0.0 1.7148691130649931 0.1 20.0 27.740481509946303 38.58275241983606 47.520133614017105 49.44340324754448 4 0.7474542593307758 0.9931542263228634 1.0
63.93667545989357 63.93667545989357 0.5914783916769176 1.1234806004098388 6.143514764242124 0.6 0.6 5.328941497033304 2.8603752908576 2.669935288550546 0.30989104161726044 680.1062902089699 0.0 1.6299504463928147 0.1 20.0 43.30672776969824 52.77863054311122 68.27193063129961 55.660108836891816 4 0.4325469235822907 0.8301172518249121 1.0
43.21481575653669 43.21481575653669 1.6474785007249182 2.0466175614696733 5.827341850985416 0.6 0.6000000000000001 5.879675918913628 1.9538340878225 4.573349392663295 0.5129921661450471 718.1035143007912 0.0 2.9149558106340594 0.1 20.0 15.056791910802104 5.7897167862687455 16.131577824577416 37.62068219959124 4 -0.458068610895337 -0.07660704550015261 1.0
60.5323820780496 60.5323820780496 2.49369598245356 2.6042905678124866 6.0662538837313225 0.6 0.6 3.696250091684453 0.3550351889294657 2.7731377039265923 -0.4401847765672869 740.7448775098177 0.0 2.3686543817428807 0.1 20.0 62.59437487565338 58.11300121446161 85.41180642174619 52.69649931570228 4 -0.8590926529675421 -0.7973549427119934 1.0
44.912366325404214 44.912366325404214 1.0699821712250202 1.3782991165604637 6.0483567963036196 0.6000000000000001 0.6 3.8318380832569376 1.420720573883174 1.5527244796619553 0.07490292119703301 738.9719255762462 0.0 1.0295853262669423 0.1 20.0 11.64722326886868 5.541177569846078 12.898157183700366 39.0984858035425 4 0.19131057458664605 0.4801398683626289 1.0
28.17369652763523 28.17369652763523 1.8358413118464052 2.3763945911366737 0.2543959080225577 0.6 0.6 4.0893626192670895 0.4598500352430765 2.015054844533488 1.2760522287216975 716.553372322032 0.0 1.3621988248702162 0.1 20.0 22.28508409648165 17.692388434211143 28.454271765312637 24.52662738226691 4 -0.7212451777112328 -0.2619526826203657 1.0
28.183976593669907 28.183976593669907 0.5408027707834814 0.9690510118353938 1.207833331770099 0.6 0.6000000000000001 5.84352245376925 0.9648159312152178 5.829718604586607 0.7967011923963534 544.4956273229844 0.0 0.7069984361182963 0.1 20.0 44.94429401552086 37.421087853565545 58.48356504777949 24.53557669954411 4 0.5660820832736757 0.8572956716840435 1.0
